,category,corr_ans,masks,words,symbols
0,sanctity.vice,right,&&&,war,images/symbols/symbol_54.png
1,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_44.png
2,nonword,,&&&&&,snauz,images/symbols/symbol_75.png
3,loyalty.vice,right,&&&&&,black,images/symbols/symbol_82.png
4,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_80.png
5,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_62.png
6,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_25.png
7,sanctity.vice,right,&&&&,fear,images/symbols/symbol_1.png
8,nonword,,&&&&&,noost,images/symbols/symbol_38.png
9,nonword,,&&&&&,cifte,images/symbols/symbol_22.png
10,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_81.png
11,care.virtue,left,&&&&,safe,images/symbols/symbol_36.png
12,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_50.png
13,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_76.png
14,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_17.png
15,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_30.png
16,nonword,,&&&&&,foald,images/symbols/symbol_65.png
17,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_13.png
18,fairness.vice,right,&&&&,hate,images/symbols/symbol_40.png
19,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_47.png
20,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_2.png
21,care.vice,right,&&&&&&&,victims,images/symbols/symbol_70.png
22,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_28.png
23,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_4.png
24,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_7.png
25,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_52.png
26,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_32.png
27,care.virtue,left,&&&&,care,images/symbols/symbol_79.png
28,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_78.png
29,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_66.png
30,nonword,,&&&&&&,shypse,images/symbols/symbol_12.png
31,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_61.png
32,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_5.png
33,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_72.png
34,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_60.png
35,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_18.png
36,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_74.png
37,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_27.png
38,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_33.png
39,care.vice,right,&&&&,died,images/symbols/symbol_71.png
40,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_15.png
41,fairness.virtue,left,&&&&,fair,images/symbols/symbol_10.png
42,nonword,,&&&&&,treas,images/symbols/symbol_21.png
43,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_57.png
44,control,right,&&&&&&&,pleasant,images/symbols/symbol_6.png
45,care.virtue,left,&&&&&&,growth,images/symbols/symbol_48.png
46,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_37.png
47,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_31.png
48,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_29.png
49,nonword,,&&&&&,wence,images/symbols/symbol_20.png
50,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_69.png
51,nonword,,&&&&&&,clorze,images/symbols/symbol_68.png
52,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_64.png
53,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_16.png
54,care.vice,right,&&&&&&,killed,images/symbols/symbol_51.png
55,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_11.png
56,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_63.png
57,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_77.png
58,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_14.png
59,care.virtue,left,&&&&&&,health,images/symbols/symbol_49.png
60,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_9.png
61,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_43.png
62,fairness.vice,right,&&&&,lies,images/symbols/symbol_8.png
63,care.vice,right,&&&&&&,victim,images/symbols/symbol_59.png
64,authority.virtue,left,&&&&&,trust,images/symbols/symbol_42.png
