,category,corr_ans,masks,words,symbols
0,care.vice,right,&&&&,shot,images/symbols/symbol_31.png
1,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_76.png
2,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_68.png
3,nonword,,&&&&&,rhoas,images/symbols/symbol_45.png
4,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_55.png
5,care.virtue,left,&&&&&&,growth,images/symbols/symbol_38.png
6,fairness.vice,right,&&&&&&&,illegal,images/symbols/symbol_16.png
7,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_40.png
8,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_48.png
9,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_20.png
10,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_4.png
11,fairness.virtue,left,&&&&,free,images/symbols/symbol_51.png
12,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_54.png
13,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_65.png
14,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_15.png
15,nonword,,&&&&&,peizz,images/symbols/symbol_17.png
16,fairness.vice,right,&&&&,lies,images/symbols/symbol_82.png
17,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_19.png
18,nonword,,&&&&&&&&&,wraughsed,images/symbols/symbol_79.png
19,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_80.png
20,care.vice,right,&&&&&&,victim,images/symbols/symbol_28.png
21,nonword,,&&&&&&,brored,images/symbols/symbol_18.png
22,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_53.png
23,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_52.png
24,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_47.png
25,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_70.png
26,fairness.virtue,left,&&&&&&,credit,images/symbols/symbol_1.png
27,sanctity.vice,right,&&&&&&&,scandal,images/symbols/symbol_67.png
28,fairness.virtue,left,&&&&,fair,images/symbols/symbol_61.png
29,control,right,&&&&&&&,pleasant,images/symbols/symbol_30.png
30,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_21.png
31,nonword,,&&&&&,wayed,images/symbols/symbol_44.png
32,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_36.png
33,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_35.png
34,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_29.png
35,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_39.png
36,nonword,,&&&&&,foald,images/symbols/symbol_6.png
37,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_58.png
38,care.virtue,left,&&&&&&,health,images/symbols/symbol_8.png
39,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_2.png
40,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_9.png
41,authority.virtue,left,&&&&&,trust,images/symbols/symbol_43.png
42,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_12.png
43,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_77.png
44,nonword,,&&&&&&,mawlde,images/symbols/symbol_34.png
45,fairness.vice,right,&&&&&,voter,images/symbols/symbol_27.png
46,authority.vice,right,&&&&,riot,images/symbols/symbol_23.png
47,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_42.png
48,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_25.png
49,sanctity.vice,right,&&&&,drug,images/symbols/symbol_60.png
50,authority.vice,right,&&&,gun,images/symbols/symbol_32.png
51,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_13.png
52,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_57.png
53,sanctity.virtue,left,&&&&&&&,promote,images/symbols/symbol_5.png
54,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_46.png
55,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_62.png
56,fairness.virtue,left,&&&,win,images/symbols/symbol_11.png
57,nonword,,&&&&&,yakks,images/symbols/symbol_7.png
58,nonword,,&&&&&&&,phegned,images/symbols/symbol_22.png
59,nonword,,&&&&&&&,squauzz,images/symbols/symbol_75.png
60,sanctity.vice,right,&&&&,fear,images/symbols/symbol_41.png
61,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_66.png
62,loyalty.vice,right,&&&,ban,images/symbols/symbol_56.png
63,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_64.png
64,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_81.png
65,care.vice,right,&&&&&,death,images/symbols/symbol_73.png
66,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_24.png
67,care.virtue,left,&&&&,good,images/symbols/symbol_71.png
68,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_14.png
69,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_26.png
70,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_72.png
71,care.vice,right,&&&&&&,killed,images/symbols/symbol_74.png
72,care.virtue,left,&&&&&,peace,images/symbols/symbol_37.png
73,loyalty.vice,right,&&&&&,black,images/symbols/symbol_69.png
74,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_3.png
75,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_59.png
76,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_33.png
77,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_49.png
78,care.vice,right,&&&&&&&,injured,images/symbols/symbol_63.png
79,care.virtue,left,&&&&&&,safety,images/symbols/symbol_78.png
80,sanctity.virtue,left,&&&&&&&&,strength,images/symbols/symbol_50.png
81,fairness.vice,right,&&&&,hate,images/symbols/symbol_10.png
